Season,Week,Date,Opponent,Completions,Attempts,Pass_Yds,Pass_TD,INT,Rush_Att,Rush_Yds,Rush_TD,Fantasy_Points,Def_Cmp_Allowed_pg,Def_Att_Allowed_pg,Def_PassYds_Allowed_pg,Def_PassTD_Allowed_pg,Def_INT_Forced_pg,Def_RushAtt_Allowed_pg,Def_RushYds_Allowed_pg,Def_RushTD_Allowed_pg,Def_Sacks_pg,Def_2PP_Allowed_pg,Def_FantasyPts_Allowed_pg
2019,16,12/22/2019,CHI,23.0,33.0,251.0,2.0,0.0,2.0,14.0,1.0,25.44,23.4375,38.3125,237.375,1.3125,1.6875,1.875,11.5625,0.0625,3.125,0.1875,12.9
2019,17,12/29/2019,LAC,16.0,25.0,174.0,1.0,1.0,7.0,21.0,0.0,11.06,21.875,34.1875,242.125,1.4375,0.8125,3.875,15.0625,0.0,2.375,0.0625,15.2
2020,1,9/10/2020,HOU,24.0,32.0,211.0,3.0,0.0,0.0,0.0,0.0,20.44,23.375,36.4375,280.8125,2.0625,0.75,3.25,18.1875,0.1875,1.875,0.0625,20.4
2020,2,9/20/2020,LAC,27.0,47.0,302.0,2.0,0.0,6.0,54.0,0.0,25.48,20.375,28.875,210.875,1.3125,0.6875,3.6875,13.8125,0.0625,1.8125,,13.8
2020,3,9/28/2020,BAL,31.0,42.0,385.0,4.0,0.0,4.0,26.0,1.0,40.0,19.8125,33.8125,223.6875,0.9375,0.75,2.1875,8.25,0.0625,2.25,0.1875,12.0
2020,4,10/5/2020,NE,19.0,29.0,236.0,2.0,0.0,8.0,28.0,0.0,20.24,18.8125,33.25,199.25,0.75,1.5625,3.625,14.0,0.25,2.9375,,10.9
2020,5,10/11/2020,LV,22.0,43.0,340.0,2.0,1.0,6.0,21.0,1.0,27.7,21.0625,32.875,272.1875,2.0625,0.5625,3.75,15.625,0.1875,2.0,,20.3
2020,6,10/19/2020,BUF,21.0,26.0,225.0,2.0,0.0,10.0,36.0,0.0,18.6,21.75,34.5625,213.8125,0.9375,0.875,3.5,9.6875,0.125,2.6875,0.1875,12.5
2020,7,10/25/2020,DEN,15.0,23.0,200.0,1.0,0.0,0.0,0.0,0.0,12.0,21.75,33.5625,238.875,1.1875,0.625,2.5625,11.6875,0.125,2.5,0.0625,14.8
2020,8,11/1/2020,NYJ,31.0,42.0,416.0,5.0,0.0,0.0,0.0,0.0,36.64,22.6875,36.5625,250.0625,1.5625,0.75,4.5625,16.5,0.125,2.1875,0.125,16.7
2020,9,11/8/2020,CAR,30.0,45.0,372.0,4.0,0.0,1.0,6.0,0.0,31.48,21.625,33.8125,249.625,1.3125,0.75,3.6875,13.8125,0.1875,3.3125,0.0625,16.6
2020,11,11/22/2020,LV,34.0,45.0,348.0,2.0,1.0,4.0,16.0,0.0,21.52,21.0625,32.875,272.1875,2.0625,0.5625,3.75,15.625,0.1875,2.0,,20.3
2020,12,11/29/2020,TB,37.0,49.0,462.0,3.0,0.0,4.0,28.0,0.0,31.28,25.375,41.375,288.0,1.875,0.75,3.25,13.0625,0.125,2.9375,0.3125,19.2
2020,13,12/6/2020,DEN,25.0,40.0,318.0,1.0,0.0,4.0,26.0,0.0,19.32,21.75,33.5625,238.875,1.1875,0.625,2.5625,11.6875,0.125,2.5,0.0625,14.8
2020,14,12/13/2020,MIA,24.0,34.0,393.0,2.0,3.0,5.0,9.0,0.0,16.62,21.5,34.0625,272.0625,2.4375,0.8125,2.5625,8.0,0.1875,1.4375,0.125,21.3
2020,15,12/20/2020,NO,26.0,47.0,254.0,3.0,0.0,7.0,37.0,0.0,21.86,23.125,37.625,260.375,1.625,0.8125,2.5,13.4375,0.25,3.1875,0.0625,17.9
2020,16,12/27/2020,ATL,24.0,44.0,278.0,2.0,1.0,3.0,21.0,0.0,19.22,21.8125,33.375,256.6875,1.75,0.75,4.1875,17.375,0.3125,1.75,0.0625,20.0
2021,1,9/12/2021,CLE,27.0,36.0,337.0,3.0,0.0,5.0,18.0,1.0,33.28,23.0625,36.375,260.3125,1.875,0.6875,4.6875,23.75,0.1875,2.375,0.0625,19.9
2021,2,9/19/2021,BAL,24.0,31.0,343.0,3.0,1.0,1.0,3.0,0.0,24.02,23.625,37.125,235.75,1.3125,0.625,3.125,14.0625,0.3125,2.4375,0.1875,16.9
2021,3,9/26/2021,LAC,27.0,44.0,260.0,3.0,2.0,4.0,45.0,0.0,22.9,21.125,33.8125,228.5,1.6875,0.75,5.0,21.375,0.5,1.6875,0.125,19.5
2021,4,10/3/2021,PHI,24.0,30.0,278.0,5.0,1.0,5.0,26.0,0.0,31.72,22.6875,33.0625,256.0,1.6875,0.5,4.9375,25.5,0.1875,3.0625,,18.8
2021,5,10/10/2021,BUF,33.0,54.0,272.0,2.0,2.0,8.0,61.0,0.0,18.98,23.0,35.75,244.625,1.4375,0.9375,3.9375,20.4375,0.4375,2.375,0.3125,18.3
2021,6,10/17/2021,WAS,32.0,47.0,397.0,2.0,2.0,3.0,31.0,0.0,20.98,20.5,32.9375,210.1875,1.3125,1.0,4.3125,23.3125,0.375,2.875,0.0625,15.7
2021,7,10/24/2021,TEN,20.0,35.0,206.0,0.0,1.0,6.0,35.0,0.0,5.74,26.375,39.25,286.6875,2.25,0.9375,3.6875,14.125,0.1875,1.1875,0.0625,21.2
2021,8,11/1/2021,NYG,29.0,48.0,275.0,1.0,1.0,3.0,10.0,0.0,12.0,24.1875,35.8125,257.4375,1.3125,0.6875,5.0625,18.3125,0.0625,2.5,,16.2
2021,9,11/7/2021,GB,20.0,37.0,166.0,1.0,0.0,2.0,-2.0,0.0,10.44,21.625,33.5,237.0625,1.4375,0.6875,2.875,16.75,0.125,2.5625,0.125,16.0
2021,10,11/14/2021,LV,35.0,50.0,406.0,5.0,0.0,0.0,0.0,0.0,36.24,23.0625,36.1875,271.0625,1.75,0.625,3.75,13.4375,0.3125,1.3125,0.25,20.1
2021,11,11/21/2021,DAL,23.0,37.0,260.0,0.0,1.0,7.0,11.0,0.0,7.5,20.375,31.875,234.6875,2.0625,0.625,4.875,22.875,0.125,1.9375,0.1875,18.9
2021,13,12/5/2021,DEN,15.0,29.0,184.0,0.0,1.0,4.0,12.0,1.0,12.56,23.25,35.25,253.1875,1.3125,0.625,4.3125,23.625,0.5,2.625,0.0625,19.7
2021,14,12/12/2021,LV,20.0,24.0,258.0,2.0,0.0,4.0,20.0,0.0,18.32,23.0625,36.1875,271.0625,1.75,0.625,3.75,13.4375,0.3125,1.3125,0.25,20.1
2021,15,12/16/2021,LAC,31.0,47.0,410.0,3.0,1.0,3.0,32.0,0.0,27.6,21.125,33.8125,228.5,1.6875,0.75,5.0,21.375,0.5,1.6875,0.125,19.5
2021,16,12/26/2021,PIT,23.0,30.0,258.0,3.0,0.0,0.0,0.0,0.0,20.32,18.625,32.8125,218.375,1.375,1.125,4.125,21.875,0.0625,3.5,0.125,14.2
2022,17,1/2/2022,CIN,26.0,35.0,259.0,2.0,0.0,2.0,25.0,0.0,20.86,24.64705882,36.76470588,263.9411765,1.529411765,0.764705882,3.352941176,14.82352941,0.058823529,2.470588235,0.058823529,16.9
2022,18,1/8/2022,DEN,27.0,44.0,270.0,2.0,0.0,9.0,54.0,0.0,24.2,20.05882353,33.05882353,229.4705882,1.294117647,0.764705882,4.352941176,18.11764706,0.117647059,2.117647059,,15.2
2022,1,9/11/2022,ARI,30.0,39.0,360.0,5.0,0.0,3.0,5.0,0.0,32.9,21.47058824,32.88235294,225.5882353,1.764705882,0.764705882,3.470588235,15.29411765,0.176470588,2.411764706,0.176470588,16.3
2022,2,9/15/2022,LAC,24.0,35.0,235.0,2.0,0.0,2.0,-1.0,0.0,17.3,20.94117647,32.76470588,234.7647059,1.588235294,0.647058824,3.411764706,17.29411765,0.176470588,2.058823529,0.176470588,17.1
2022,3,9/25/2022,IND,20.0,35.0,262.0,1.0,1.0,4.0,26.0,0.0,15.08,22.94117647,35.05882353,247.2352941,1.882352941,1.117647059,4.235294118,22.47058824,0.0,1.941176471,0.176470588,17.5
2022,4,10/2/2022,TB,23.0,37.0,249.0,3.0,1.0,4.0,34.0,0.0,23.36,26.05882353,39.76470588,253.0588235,1.529411765,1.0,4.941176471,23.47058824,0.176470588,2.764705882,0.058823529,17.3
2022,5,10/10/2022,LV,29.0,43.0,292.0,4.0,0.0,4.0,28.0,0.0,30.48,23.47058824,35.52941176,234.1176471,1.705882353,0.352941176,3.941176471,16.41176471,0.058823529,2.0,0.235294118,17.3
2022,6,10/16/2022,BUF,25.0,40.0,338.0,2.0,2.0,4.0,21.0,0.0,19.62,17.47058824,31.11764706,179.2352941,0.705882353,1.117647059,4.529411765,17.17647059,0.294117647,2.411764706,0.117647059,11.2
2022,7,10/23/2022,SF,25.0,34.0,423.0,3.0,1.0,0.0,0.0,0.0,24.92,21.70588235,31.76470588,224.4117647,1.470588235,0.529411765,3.764705882,21.29411765,0.235294118,2.823529412,0.117647059,17.3
2022,9,11/6/2022,TEN,43.0,68.0,446.0,1.0,1.0,6.0,63.0,1.0,32.14,23.23529412,36.88235294,263.8235294,1.411764706,0.941176471,3.647058824,13.52941176,0.294117647,2.529411765,0.058823529,17.5
2022,10,11/13/2022,JAX,26.0,35.0,331.0,4.0,1.0,7.0,39.0,0.0,29.14,22.17647059,31.94117647,241.8235294,1.411764706,0.411764706,3.764705882,19.47058824,0.235294118,1.882352941,0.058823529,17.8
2022,11,11/20/2022,LAC,20.0,34.0,329.0,3.0,0.0,4.0,23.0,0.0,25.46,20.94117647,32.76470588,234.7647059,1.588235294,0.647058824,3.411764706,17.29411765,0.176470588,2.058823529,0.176470588,17.1
2022,12,11/27/2022,LAR,27.0,42.0,320.0,1.0,1.0,4.0,36.0,0.0,18.4,24.35294118,36.58823529,260.8823529,0.941176471,1.117647059,3.411764706,17.17647059,0.235294118,2.941176471,0.117647059,15.2
2022,13,12/4/2022,CIN,16.0,27.0,223.0,1.0,0.0,2.0,9.0,1.0,19.82,24.64705882,36.76470588,263.9411765,1.529411765,0.764705882,3.352941176,14.82352941,0.058823529,2.470588235,0.058823529,16.9
2022,14,12/11/2022,DEN,28.0,42.0,352.0,3.0,3.0,3.0,-3.0,0.0,19.78,20.05882353,33.05882353,229.4705882,1.294117647,0.764705882,4.352941176,18.11764706,0.117647059,2.117647059,,15.2
2022,15,12/18/2022,HOU,36.0,41.0,336.0,2.0,0.0,5.0,33.0,1.0,28.74,21.35294118,32.11764706,255.4117647,1.588235294,1.0,4.0,10.35294118,0.294117647,1.882352941,0.117647059,17.5
2022,16,12/24/2022,SEA,16.0,28.0,224.0,2.0,0.0,2.0,8.0,1.0,23.76,26.05882353,38.70588235,280.3529412,1.411764706,0.647058824,3.470588235,13.58823529,0.0,2.0,0.117647059,16.9
2023,17,1/1/2023,DEN,29.0,42.0,328.0,3.0,1.0,4.0,8.0,0.0,23.92,23.05882353,35.52941176,224.6470588,1.176470588,0.823529412,3.529411765,11.35294118,0.117647059,2.117647059,0.058823529,14.0
2023,18,1/7/2023,LV,18.0,26.0,202.0,1.0,0.0,3.0,29.0,0.0,14.98,23.41176471,34.64705882,254.0588235,1.470588235,0.352941176,3.529411765,15.82352941,0.235294118,1.588235294,0.117647059,18.5
