Rank,Game_Career,Game_Team,Week,Date,Team,Opponent,GS,Completions,Attempts,Completion_Pct,Pass_Yds,Pass_TD,INT,Yards_per_Attempt,Adj_Yards_per_Attempt,Passer_Rating,Sacks,Sack_Yards,Rush_Att,Rush_Yds,Rush_TD,Yards_per_Rush,Fumbles,Fantasy_Points,Season,QB
178.0,178.0,10.0,11,2021-11-21,NYJ,MIA,*,24,39,61.5,291,2,0,7.5,8.49,101.5,2,13,2,3,0,1.5,1,17.94,2021,Joe Flacco
179.0,179.0,1.0,1,2022-09-11,NYJ,BAL,*,37,59,62.7,309,1,1,5.2,4.81,74.8,3,12,1,0,0,0.0,0,14.36,2022,Joe Flacco
180.0,180.0,2.0,2,2022-09-18,NYJ,CLE,*,26,44,59.1,307,4,0,7.0,8.8,110.7,2,15,2,6,0,3.0,1,26.880000000000003,2022,Joe Flacco
181.0,181.0,3.0,3,2022-09-25,NYJ,CIN,*,28,52,53.8,285,0,2,5.5,3.75,53.8,4,33,0,0,0,,3,1.4000000000000004,2022,Joe Flacco
182.0,182.0,13.0,14,2022-12-11,NYJ,BUF,,1,3,33.3,1,0,0,0.3,0.33,42.4,1,6,0,0,0,,1,-1.96,2022,Joe Flacco
183.0,183.0,17.0,18,2023-01-08,NYJ,MIA,*,18,33,54.5,149,0,0,4.5,4.52,66.4,0,0,0,0,0,,0,5.96,2023,Joe Flacco
184.0,184.0,12.0,13,2023-12-03,CLE,LAR,*,23,44,52.3,254,2,1,5.8,5.66,75.4,2,14,0,0,0,,0,16.16,2023,Joe Flacco
185.0,185.0,13.0,14,2023-12-10,CLE,JAX,*,26,45,57.8,311,3,1,6.9,7.24,92.0,1,4,4,-1,0,-0.3,1,20.339999999999996,2023,Joe Flacco
186.0,186.0,14.0,15,2023-12-17,CLE,CHI,*,28,44,63.6,374,2,3,8.5,6.34,77.3,4,31,1,-1,0,-1.0,1,14.86,2023,Joe Flacco
187.0,187.0,15.0,16,2023-12-24,CLE,HOU,*,27,42,64.3,368,3,2,8.8,8.05,96.1,0,0,2,1,0,0.5,0,22.82,2023,Joe Flacco
188.0,188.0,16.0,17,2023-12-28,CLE,NYJ,*,19,29,65.5,309,3,1,10.7,11.17,121.2,1,8,2,3,0,1.5,2,18.66,2023,Joe Flacco
189.0,189.0,4.0,4,2024-09-29,IND,PIT,,16,26,61.5,168,2,0,6.5,8.0,105.9,2,14,2,3,0,1.5,0,15.02,2024,Joe Flacco
190.0,190.0,5.0,5,2024-10-06,IND,JAX,*,33,44,75.0,359,3,0,8.2,9.52,121.3,4,35,3,22,0,7.3,1,26.56,2024,Joe Flacco
191.0,191.0,6.0,6,2024-10-13,IND,TEN,*,22,38,57.9,189,2,1,5.0,4.84,77.6,0,0,1,1,0,1.0,0,13.659999999999998,2024,Joe Flacco
192.0,192.0,8.0,8,2024-10-27,IND,HOU,,0,0,,0,0,0,,,,0,0,0,0,0,,0,0.0,2024,Joe Flacco
193.0,193.0,9.0,9,2024-11-03,IND,MIN,*,16,27,59.3,179,0,1,6.6,4.96,63.7,3,20,2,-1,0,-0.5,1,3.0600000000000005,2024,Joe Flacco
194.0,194.0,10.0,10,2024-11-10,IND,BUF,*,26,35,74.3,272,2,3,7.8,5.06,79.7,4,32,0,0,0,,1,10.880000000000003,2024,Joe Flacco
195.0,195.0,16.0,17,2024-12-29,IND,NYG,*,26,38,68.4,330,2,2,8.7,7.37,90.9,2,10,1,1,0,1.0,1,15.3,2024,Joe Flacco
196.0,196.0,17.0,18,2025-01-05,IND,JAX,*,23,40,57.5,264,1,0,6.6,7.1,85.8,3,12,0,0,0,,0,14.56,2025,Joe Flacco
